country,year,centaxgdp
Denmark,1820,4
Denmark,1821,5
Denmark,1822,5
Denmark,1823,5
Denmark,1824,5
Denmark,1825,4
Denmark,1826,4
Denmark,1827,4
Denmark,1828,4
Denmark,1829,4
Denmark,1830,4
Denmark,1831,4
Denmark,1832,4
Denmark,1833,4
Denmark,1834,4
Denmark,1835,4
Denmark,1836,4
Denmark,1837,4
Denmark,1838,4
Denmark,1839,4
Denmark,1840,4
Denmark,1841,3
Denmark,1842,3
Denmark,1843,3
Denmark,1844,3
Denmark,1845,3
Denmark,1846,3
Denmark,1847,3
Denmark,1848,3
Denmark,1849,4
Denmark,1850,4
Denmark,1851,4
Denmark,1852,3
Denmark,1853,4
Denmark,1854,3
Denmark,1855,3
Denmark,1856,3
Denmark,1857,3
Denmark,1858,3
Denmark,1859,3
Denmark,1860,3
Denmark,1861,3
Denmark,1862,3
Denmark,1863,3
Denmark,1864,2
Denmark,1865,2
Denmark,1866,2
Denmark,1867,5
Denmark,1868,5
Denmark,1869,4
Denmark,1870,4
Denmark,1871,5
Denmark,1872,5
Denmark,1873,4
Denmark,1874,5
Denmark,1875,5
Denmark,1876,5
Denmark,1877,5
Denmark,1878,5
Denmark,1879,5
Denmark,1880,5
Denmark,1881,5
Denmark,1882,5
Denmark,1883,5
Denmark,1884,5
Denmark,1885,5
Denmark,1886,5
Denmark,1887,5
Denmark,1888,5
Denmark,1889,5
Denmark,1890,5
Denmark,1891,5
Denmark,1892,5
Denmark,1893,5
Denmark,1894,5
Denmark,1895,5
Denmark,1896,5
Denmark,1897,5
Denmark,1898,5
Denmark,1899,5
Denmark,1900,5
Denmark,1901,5
Denmark,1902,5
Denmark,1903,5
Denmark,1904,5
Denmark,1905,5
Denmark,1906,5
Denmark,1907,5
Denmark,1908,5
Denmark,1909,4
Denmark,1910,4
Denmark,1911,4
Denmark,1912,4
Denmark,1913,4
Denmark,1914,4
Denmark,1915,4
Denmark,1916,6
Denmark,1917,9
Denmark,1918,8
Denmark,1919,10
Denmark,1920,7
Denmark,1921,8
Denmark,1922,7
Denmark,1923,7
Denmark,1924,6
Denmark,1925,7
Denmark,1926,8
Denmark,1927,7
Denmark,1928,7
Denmark,1929,7
Denmark,1930,7
Denmark,1931,7
Denmark,1932,8
Denmark,1933,8
Denmark,1934,8
Denmark,1935,7
Denmark,1936,7
Denmark,1937,7
Denmark,1938,7
Denmark,1939,8
Denmark,1940,10
Denmark,1941,9
Denmark,1942,10
Denmark,1943,10
Denmark,1944,10
Denmark,1945,10
Denmark,1946,14
Denmark,1947,15
Denmark,1948,14
Denmark,1949,13
Denmark,1950,11
Denmark,1951,12
Denmark,1952,12
Denmark,1953,12
Denmark,1954,13
Denmark,1955,14
Denmark,1956,14
Denmark,1957,14
Denmark,1958,16
Denmark,1959,16
Denmark,1960,16
Denmark,1961,16
Denmark,1962,17
Denmark,1963,19
Denmark,1964,18
Denmark,1965,19
Denmark,1966,21
Denmark,1967,20
Denmark,1968,24
Denmark,1969,25
Denmark,1970,28
Denmark,1971,30
Denmark,1972,29
Denmark,1973,28
Denmark,1974,30
Denmark,1975,26
Denmark,1976,27
Denmark,1977,27
Denmark,1978,29
Denmark,1979,29
Denmark,1980,29
Denmark,1981,29
Denmark,1982,28
Denmark,1983,29
Denmark,1984,30
Denmark,1985,32
Denmark,1986,34
Denmark,1987,34
Denmark,1988,33
Denmark,1989,32
Denmark,1990,31
Denmark,1991,30
Denmark,1992,30
Denmark,1993,31
Denmark,1994,32
Denmark,1995,32
Denmark,1996,32
Denmark,1997,32
Denmark,1998,32
Denmark,1999,32
Denmark,2000,31
Denmark,2001,30
Denmark,2002,29
Denmark,2003,29
Denmark,2004,31
Denmark,2005,33
Denmark,2006,32
Denmark,2007,36
Denmark,2008,35
Denmark,2009,34
Denmark,2010,34
Denmark,2011,34
Denmark,2012,34
Denmark,2013,34
Denmark,2014,37
Denmark,2015,34
Denmark,2016,34
Denmark,2017,34
Denmark,2018,32
Denmark,2019,35
Denmark,2020,35
Finland,1882,7
Finland,1883,7
Finland,1884,7
Finland,1885,8
Finland,1886,8
Finland,1887,8
Finland,1888,7
Finland,1889,7
Finland,1890,6
Finland,1891,6
Finland,1892,7
Finland,1893,7
Finland,1894,7
Finland,1895,7
Finland,1896,7
Finland,1897,6
Finland,1898,6
Finland,1899,6
Finland,1900,6
Finland,1901,10
Finland,1902,10
Finland,1903,10
Finland,1904,10
Finland,1905,10
Finland,1906,11
Finland,1907,11
Finland,1908,12
Finland,1909,11
Finland,1910,11
Finland,1911,11
Finland,1912,11
Finland,1913,11
Finland,1914,11
Finland,1915,11
Finland,1916,13
Finland,1917,12
Finland,1918,9
Finland,1919,12
Finland,1920,13
Finland,1921,14
Finland,1922,15
Finland,1923,16
Finland,1924,16
Finland,1925,15
Finland,1926,15
Finland,1927,15
Finland,1928,16
Finland,1929,16
Finland,1930,18
Finland,1931,18
Finland,1932,11
Finland,1933,12
Finland,1934,13
Finland,1935,13
Finland,1936,12
Finland,1937,12
Finland,1938,13
Finland,1939,13
Finland,1940,12
Finland,1941,23
Finland,1942,26
Finland,1943,26
Finland,1944,25
Finland,1945,23
Finland,1946,30
Finland,1947,24
Finland,1948,24
Finland,1949,25
Finland,1950,24
Finland,1951,22
Finland,1952,20
Finland,1953,23
Finland,1954,20
Finland,1955,20
Finland,1956,21
Finland,1957,21
Finland,1958,20
Finland,1959,21
Finland,1960,22
Finland,1961,20
Finland,1962,22
Finland,1963,19
Finland,1964,21
Finland,1965,22
Finland,1966,22
Finland,1967,23
Finland,1968,24
Finland,1969,23
Finland,1970,23
Finland,1971,23
Finland,1972,20
Finland,1973,21
Finland,1974,20
Finland,1975,20
Finland,1976,23
Finland,1977,22
Finland,1978,21
Finland,1979,19
Finland,1980,20
Finland,1981,21
Finland,1982,20
Finland,1983,21
Finland,1984,22
Finland,1985,22
Finland,1986,23
Finland,1987,22
Finland,1988,24
Finland,1989,24
Finland,1990,23
Finland,1991,23
